Order ID,Item ID,Title,Photo URL,List Date,Sold Date,Time To Sell,Item Cost,Purchased At,SKU,Quantity Sold,Sold For Price,Shipping Paid
135603721715-10074689715527,135603721715,"Chessman Elite Interactive Electronic Chess Game +, 64 Levels of CG1300 ",,2025-03-06T21:26:34.000Z,2025-03-14T12:38:52.000Z,7,,,,1,N/A,0.0
135603749613-10070429359208,135603749613,RANDY ORTON - WWE Elite Top Picks 2022 Wrestling Action Figure,,2025-03-06T21:41:20.000Z,2025-03-09T22:05:22.000Z,3,,,,4,N/A,0.0
135500580552-10070677904716,135500580552,"Cordless Grass Shear, 2-In-1 Handheld Hedge Trimmer, 21V Electric Grass Trimmer ",,2025-01-15T23:37:13.000Z,2025-03-09T20:38:46.000Z,52,,,,1,N/A,0.0
135603736762-10070658695116,135603736762,"Sangean HDR-16 HD Radio/FM-Stereo/AM Portable Radio, Black",,2025-03-06T21:31:50.000Z,2025-03-09T06:05:28.000Z,2,,,,1,N/A,0.0
135603749613-10070356872920,135603749613,RANDY ORTON - WWE Elite Top Picks 2022 Wrestling Action Figure,,2025-03-06T21:41:20.000Z,2025-03-09T22:05:22.000Z,3,,,,4,N/A,0.0
135603749613-10070673169212,135603749613,RANDY ORTON - WWE Elite Top Picks 2022 Wrestling Action Figure,,2025-03-06T21:41:20.000Z,2025-03-09T22:05:22.000Z,3,,,,4,N/A,0.0
135539353330-10070600309822,135539353330,NEXIQ Technologies 121052 USB-Link 3 Wireless READ DESCRIPTION,,2025-02-07T19:58:57.000Z,2025-03-07T23:40:51.000Z,28,,,,1,N/A,0.0
135603749613-10074514906127,135603749613,RANDY ORTON - WWE Elite Top Picks 2022 Wrestling Action Figure,,2025-03-06T21:41:20.000Z,2025-03-09T22:05:22.000Z,3,,,,4,N/A,0.0
135547891327-10074505037827,135547891327,VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering White Visual ,,2025-02-11T21:29:03.000Z,2025-03-06T17:30:37.000Z,22,,,,1,N/A,0.0
135325694247-2119335654003,135325694247,US Army Lt. Colonel RANK INSIGNIA COLLAR PINS Subdued Pair #2,,2024-10-27T19:43:56.000Z,2025-03-05T23:33:13.000Z,129,,,,1,N/A,4.14
135547955424-10070117968125,135547955424,"EV Charger, 16Amp 110V/240V Portable Level 1 Level 2 Electric Vehicle Chargin...",,2025-02-11T22:04:46.000Z,2025-03-05T08:39:05.000Z,21,,,,1,N/A,0.0
135514024956-10070513834722,135514024956,Kirkland Signature White Mens Crew neck T-shirt 6 Pack Size M,,2025-01-23T18:18:27.000Z,2025-03-04T09:59:01.000Z,39,,,,1,N/A,25.64
135545291166-10071105984206,135545291166,"Starlink Gen 3 Cable 46M/150FT, High Speed Replacement Extension Cable",,2025-02-10T18:03:58.000Z,2025-03-02T23:25:01.000Z,20,,,,1,N/A,0.0
135434717636-10070113470724,135434717636,"iMaihom Floodlight Camera Outdoor Wired, 2K QHD Security Cam, Motion Activated",,2024-12-11T01:36:27.000Z,2025-02-26T04:48:33.000Z,77,,,,1,N/A,0.0
135547882893-10070091584924,135547882893,"KSP Upper Control Arm fit 07-18 Chevy Silverado sierra 1500 W/ 2-4"" front lifted",,2025-02-11T21:17:31.000Z,2025-02-25T07:32:52.000Z,13,,,,1,N/A,0.0
135489628845-10070238392919,135489628845,MGA's Mini Verse Make It Mini Food ALL YOU CAN EAT Collection 101+ Pieces New!!,,2025-01-09T02:49:57.000Z,2025-02-23T05:27:29.000Z,45,,,,1,N/A,0.0
135325656540-10070083211401,135325656540,Vintage US Military Pilot Cadet Wings Propeller Aviation Pins Badge Pair Set,,2024-10-27T19:08:25.000Z,2025-02-22T17:53:41.000Z,117,,,,1,N/A,0.0
135434467001-10070002003408,135434467001,"United Ortho 300542-05 Functional ACL Knee Support Brace, Left Leg, Medium",,2024-12-10T21:55:08.000Z,2025-02-20T04:19:30.000Z,71,,,,1,N/A,0.0
134874965487-10073116546318,134874965487, Ahopegarden HSXA1 Intelligent Planter 10-Pod Plant Germination Machine,,2024-01-02T23:54:27.000Z,2025-02-16T22:09:19.000Z,410,,,,1,N/A,7.47
135497017838-2117755502003,135497017838,Reusch Attrakt Freegel Grip Fusion Ortho-Tec Goalkeeper Gloves Size 9,,2025-01-13T21:29:40.000Z,2025-02-16T13:59:32.000Z,33,,,,1,N/A,0.0
134892924359-10070160014411,134892924359,Sous Vide Immersion Circulator Precision Cooker Ooiior MZJ-01 Black Silver 1100W,,2024-01-15T22:14:37.000Z,2025-02-15T22:14:36.000Z,396,,,,1,N/A,0.0
135552299259-2117572152003,135552299259,Kidde Smoke and Carbon Monoxide Detector with Interconnected Alarm Voice Alerts,,2025-02-13T18:37:24.000Z,2025-02-15T00:45:56.000Z,1,,,,1,N/A,0.0
135480694064-10074013210427,135480694064,Flydigi Vader 4 Pro Limited Edition Wireless Gamepad Controller For PC,,2025-01-03T21:10:04.000Z,2025-02-14T04:24:49.000Z,41,,,,1,N/A,0.0
135545300638-2117347726003,135545300638,"Cushion Lab Patented Pressure Relief Seat Cushion, Long Sitting Hours Open Box",,2025-02-10T18:17:07.000Z,2025-02-13T05:36:10.000Z,2,,,,1,N/A,0.0
